sample_type,step,spec_id,spec_label,estimator,estimator_label,nobs,countries,years,coef,coef_sign,p_value,r_squared,adj_r_squared,fit_status,regressors
native_complete_case,6,m1_controls,M1 baseline controls,fixed_effects_driscoll_kraay,"Two-way FE, Driscoll-Kraay SE",112.0,9,13,0.06702316286551419,positive,0.24940575315343638,0.08277331115686248,-0.18386235420451458,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
native_complete_case,6,m1_controls,M1 baseline controls,fixed_effects,Fixed effects,112.0,9,13,0.06702316286551419,positive,0.2511133173841422,0.08277331115686248,-0.18386235420451458,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
native_complete_case,6,m1_controls,M1 baseline controls,random_effects,Random effects,112.0,9,13,-0.03610211235239681,negative,0.11021884673867022,0.5632218489423086,0.5426191059678893,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
native_complete_case,7,m2_full_controls,M2 full controls,pooled_ols,Pooled OLS,109.0,9,13,-0.04988765248236991,negative,0.015542729964192956,0.7015303181855299,0.6839732780787964,estimated,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
native_complete_case,7,m2_full_controls,M2 full controls,fixed_effects_driscoll_kraay,"Two-way FE, Driscoll-Kraay SE",109.0,9,13,0.0627364696933984,positive,0.2694410807116161,0.09343009421477666,-0.19401890030248925,estimated,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
native_complete_case,7,m2_full_controls,M2 full controls,fixed_effects,Fixed effects,109.0,9,13,0.0627364696933984,positive,0.24748264079059723,0.09343009421477666,-0.19401890030248925,estimated,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
native_complete_case,7,m2_full_controls,M2 full controls,random_effects,Random effects,109.0,9,13,-0.041178353847269714,negative,0.05305692598407363,0.6052781399352536,0.5820592069902685,estimated,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
fixed_m2_common_sample,1,bm_only,Broad money only,pooled_ols,Pooled OLS,96.0,8,13,0.07093698905876625,positive,0.15740198147742535,0.1583050742809199,0.14935087294348282,estimated,broad_money_pct_gdp
fixed_m2_common_sample,1,bm_only,Broad money only,fixed_effects_driscoll_kraay,"Two-way FE, Driscoll-Kraay SE",96.0,8,13,0.05553301403203466,positive,0.2890327279519713,0.03547697106295011,-0.22172916998692993,estimated,broad_money_pct_gdp
fixed_m2_common_sample,1,bm_only,Broad money only,fixed_effects,Fixed effects,96.0,8,13,0.05553301403203466,positive,0.39768988068042455,0.03547697106295011,-0.22172916998692993,estimated,broad_money_pct_gdp
fixed_m2_common_sample,1,bm_only,Broad money only,random_effects,Random effects,96.0,8,13,0.01757900845019673,positive,0.34823111927860495,0.008862416351659852,-0.001681600495663016,estimated,broad_money_pct_gdp
fixed_m2_common_sample,2,bm_inflation,Broad money + inflation,pooled_ols,Pooled OLS,96.0,8,13,0.07082269488502395,positive,0.15983174722300364,0.15831445849854642,0.1402136941651818,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct"
fixed_m2_common_sample,2,bm_inflation,Broad money + inflation,fixed_effects_driscoll_kraay,"Two-way FE, Driscoll-Kraay SE",96.0,8,13,0.057959328197453315,positive,0.32080689508326987,0.0358162335014508,-0.23780348401840778,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct"
fixed_m2_common_sample,2,bm_inflation,Broad money + inflation,fixed_effects,Fixed effects,96.0,8,13,0.057959328197453315,positive,0.4238622873594968,0.0358162335014508,-0.23780348401840778,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct"
fixed_m2_common_sample,2,bm_inflation,Broad money + inflation,random_effects,Random effects,96.0,8,13,0.017875394429388684,positive,0.36657841616365294,0.008267254944988145,-0.01306033097017334,estimated,"broad_money_pct_gdp, inflation_gdp_deflator_pct"
fixed_m2_common_sample,3,bm_trade,Broad money + trade,pooled_ols,Pooled OLS,96.0,8,13,-0.03442115954740488,negative,0.18745698388801157,0.7222001961895261,0.7162260068602686,estimated,"broad_money_pct_gdp, trade_pct_gdp"
fixed_m2_common_sample,3,bm_trade,Broad money + trade,fixed_effects_driscoll_kraay,"Two-way FE, Driscoll-Kraay SE",96.0,8,13,0.07683273193255347,positive,0.22600667991044365,0.06374157963664717,-0.2019533774934934,estimated,"broad_money_pct_gdp, trade_pct_gdp"
fixed_m2_common_sample,3,bm_trade,Broad money + trade,fixed_effects,Fixed effects,96.0,8,13,0.07683273193255347,positive,0.14823956223653645,0.06374157963664717,-0.2019533774934934,estimated,"broad_money_pct_gdp, trade_pct_gdp"
