source_variable,transformed_variable,transformation,status,preferred_for_modeling,non_missing_source,non_missing_transformed
gdppc_current_usd,ln_gdppc,natural_log,created_from_current_macro_workbook,True,264.0,264
official_exchange_rate_lcu_usd,xr_dep_pct,country_log_difference_x100,created_from_current_macro_workbook,True,261.0,253
population_total,ln_population_total,natural_log,created_from_current_hc_pop_workbook,True,240.0,240
hc_human_capital_index_raw_digits,hc_human_capital_index,direct_from_hc_series,created_from_current_hc_pop_workbook,True,,240
2000-2025-lending-deposit-tourism-arrivals.csv,deposit_interest_rate_pct,country_series_merge_from_year_columns,created_from_additional_series_file,True,,213
2000-2025-lending-deposit-tourism-arrivals.csv,lending_interest_rate_pct,country_series_merge_from_year_columns,created_from_additional_series_file,False,,192
tourism_arrivals,ln_tourism_arrivals,natural_log,created_from_additional_series_file,False,200.0,240
