metric,value
Observations,151
Countries used,7
Years used,23
Estimator,"Two-way FE, Driscoll-Kraay SE"
Hausman diagnostic,Diagnostic only; RE failed (float division by zero)
Within R-squared,0.0535
Slope-adjusted within R-squared,0.0141
R2 minus adjusted R2 gap,0.2763
Max VIF,12.6201
Lost-country note,None
Regressors,"broad_money_growth_pct, lending_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
