,fdi_pct_gdp,fdi_pct_gdp_winsorized,broad_money_growth_pct,trade_pct_gdp,inflation_gdp_deflator_pct,deposit_interest_rate_pct,real_interest_rate_pct,lending_interest_rate_pct,hc_human_capital_index,ln_gdppc,xr_dep_pct,xr_dep_pct_winsorized,ln_population_total,ln_tourism_arrivals
fdi_pct_gdp,1.0,0.9914168691177987,-0.0071024794077319525,0.7787267844860726,-0.09937620526264597,-0.3721326310779872,-0.0992950133423927,-0.22433321105793577,0.2729628689557582,0.17931486659391832,-0.03819054590839913,-0.0651854455454396,-0.2925483679913187,0.16213104053199048
fdi_pct_gdp_winsorized,0.9914168691177987,1.0,-0.01187750514159638,0.7962597309015683,-0.11873983000087591,-0.37408004491986185,-0.06345305414875621,-0.2253322709732905,0.2700273706382429,0.16384743114384964,-0.04028560089990125,-0.06789446405880924,-0.29418631994731004,0.16474331401309006
broad_money_growth_pct,-0.0071024794077319525,-0.01187750514159638,1.0,-0.12814726534507592,0.3170911835665883,0.43340908319108595,0.0335646014185887,0.6235735527407114,-0.6649263074419149,-0.3653765106659413,0.1185671974398068,0.0918435933579812,0.16254436533240635,-0.41087956490800204
trade_pct_gdp,0.7787267844860726,0.7962597309015683,-0.12814726534507592,1.0,-0.12517390850169036,-0.42498186359377865,-0.12980678168045634,-0.3571080889226364,0.45274485956045907,0.18009932265688666,-0.1700227931781002,-0.1777569516918666,-0.28021784314184256,0.3136622580855356
inflation_gdp_deflator_pct,-0.09937620526264597,-0.11873983000087591,0.3170911835665883,-0.12517390850169036,1.0,0.5137389846113188,-0.7354890153099771,0.4548317344784115,-0.3206511069851153,-0.10674617174579328,-0.01185752854788014,0.012819010489227144,0.14239066663411568,-0.3143746137342236
deposit_interest_rate_pct,-0.3721326310779872,-0.37408004491986185,0.43340908319108595,-0.42498186359377865,0.5137389846113188,1.0,0.06496566812756194,0.7350932451356269,-0.4988191474500337,-0.0276992309173927,0.11819107350505735,0.24343352568404236,0.5434261073741672,-0.30618631387739764
real_interest_rate_pct,-0.0992950133423927,-0.06345305414875621,0.0335646014185887,-0.12980678168045634,-0.7354890153099771,0.06496566812756194,1.0,0.35732415436740517,-0.27261381405445184,-0.24734500678836735,0.08561170379888268,0.13805374425850117,-0.06457778361560249,-0.1593801151825069
lending_interest_rate_pct,-0.22433321105793577,-0.2253322709732905,0.6235735527407114,-0.3571080889226364,0.4548317344784115,0.7350932451356269,0.35732415436740517,1.0,-0.8487478014588647,-0.5006177203343642,0.09520892143708751,0.13919152409807586,0.17179079864131136,-0.5702901080254299
hc_human_capital_index,0.2729628689557582,0.2700273706382429,-0.6649263074419149,0.45274485956045907,-0.3206511069851153,-0.4988191474500337,-0.27261381405445184,-0.8487478014588647,1.0,0.6122440496482433,-0.10494305440106098,-0.10353526585570931,-0.13948168348327944,0.5653307867768613
ln_gdppc,0.17931486659391832,0.16384743114384964,-0.3653765106659413,0.18009932265688666,-0.10674617174579328,-0.0276992309173927,-0.24734500678836735,-0.5006177203343642,0.6122440496482433,1.0,0.008523239954680142,0.04295386988667431,0.6254134667070909,0.7228179970511428
xr_dep_pct,-0.03819054590839913,-0.04028560089990125,0.1185671974398068,-0.1700227931781002,-0.01185752854788014,0.11819107350505735,0.08561170379888268,0.09520892143708751,-0.10494305440106098,0.008523239954680142,1.0,0.48762353346688353,0.0512284047146301,-0.08457207270221159
xr_dep_pct_winsorized,-0.0651854455454396,-0.06789446405880924,0.0918435933579812,-0.1777569516918666,0.012819010489227144,0.24343352568404236,0.13805374425850117,0.13919152409807586,-0.10353526585570931,0.04295386988667431,0.48762353346688353,1.0,0.13407010497179023,-0.034206572243594635
ln_population_total,-0.2925483679913187,-0.29418631994731004,0.16254436533240635,-0.28021784314184256,0.14239066663411568,0.5434261073741672,-0.06457778361560249,0.17179079864131136,-0.13948168348327944,0.6254134667070909,0.0512284047146301,0.13407010497179023,1.0,0.3138423849084184
ln_tourism_arrivals,0.16213104053199048,0.16474331401309006,-0.41087956490800204,0.3136622580855356,-0.3143746137342236,-0.30618631387739764,-0.1593801151825069,-0.5702901080254299,0.5653307867768613,0.7228179970511428,-0.08457207270221159,-0.034206572243594635,0.3138423849084184,1.0
