model_id,estimator,covariance_type,nobs,r_squared,within_r2,adj_r_squared,slope_adjusted_within_r2,r2_adj_r2_gap
M1_baseline_liquidity,pooled_ols,country-clustered,209.0,0.6392778826778058,0.6392778826778058,0.6303931014629734,0.6303931014629736,0.0088847812148323
M1_baseline_liquidity,fixed_effects,entity-clustered,209.0,0.0125578278375014,0.0304775891811043,-0.194116115173254,0.0065977268456635,0.2066739430107554
M1_baseline_liquidity,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,209.0,0.0125578278375014,0.0304775891811043,-0.194116115173254,0.0065977268456635,0.2066739430107554
M1_baseline_liquidity,random_effects,entity-clustered,209.0,0.1255561408224217,0.0266173933759674,0.104018114734304,0.0026424523261144,0.0215380260881177
M2_main_monetary_policy,pooled_ols,country-clustered,182.0,0.6804485602031545,0.6804485602031545,0.6694925108386912,0.6694925108386912,0.0109560493644632
M2_main_monetary_policy,fixed_effects,entity-clustered,182.0,0.0341613007601737,0.1400446184980985,-0.2056331349131623,0.1105604339894619,0.2397944356733361
M2_main_monetary_policy,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,182.0,0.0341613007601737,0.1400446184980985,-0.2056331349131623,0.1105604339894619,0.2397944356733361
M2_main_monetary_policy,random_effects,entity-clustered,182.0,0.1267539959998251,0.1227827356178316,0.0968141330055334,0.0927067151247287,0.0299398629942917
M3_lagged_main_model,pooled_ols,country-clustered,177.0,0.6695433119898575,0.6695433119898575,0.6578801347659701,0.6578801347659702,0.0116631772238874
M3_lagged_main_model,fixed_effects,entity-clustered,177.0,0.0299883472624864,0.1047262944621092,-0.2107946871049812,0.0731283989725366,0.2407830343674677
M3_lagged_main_model,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,177.0,0.0299883472624864,0.1047262944621092,-0.2107946871049812,0.0731283989725366,0.2407830343674677
M3_lagged_main_model,random_effects,entity-clustered,177.0,0.0812474957613208,0.067873991393351,0.0488209367881909,0.0349754263837045,0.0324265589731298
M4_real_interest_robustness,pooled_ols,country-clustered,174.0,0.6809704462836937,0.6809704462836937,0.6695083066292157,0.6695083066292157,0.011462139654478
M4_real_interest_robustness,fixed_effects,entity-clustered,174.0,0.0670573701884696,0.0403728325705557,-0.178095437645217,0.0058952097886595,0.2451528078336867
M4_real_interest_robustness,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,174.0,0.0670573701884696,0.0403728325705557,-0.178095437645217,0.0058952097886595,0.2451528078336867
M4_real_interest_robustness,random_effects,entity-clustered,174.0,0.1545333546073386,0.0234105069226533,0.1241573074674825,-0.01167654073282,0.030376047139856
M5_lending_rate_robustness,pooled_ols,country-clustered,161.0,0.7285430431537359,0.7285430431537359,0.7179667980818035,0.7179667980818034,0.0105762450719323
M5_lending_rate_robustness,fixed_effects,entity-clustered,161.0,0.0449767332223826,0.0892616538297499,-0.2224297814753502,0.0537783416412985,0.2674065146977328
M5_lending_rate_robustness,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,161.0,0.0449767332223826,0.0892616538297499,-0.2224297814753502,0.0537783416412985,0.2674065146977328
M5_lending_rate_robustness,random_effects,entity-clustered,161.0,0.0910338311575613,0.0657878238782311,0.0556195648390248,0.0293899468864738,0.0354142663185365
M6_tourism_robustnessa_from_M4_real_interest_robustness,pooled_ols,country-clustered,161.0,0.7381221722260367,0.7381221722260367,0.7261408337004305,0.7261408337004305,0.0119813385256062
M6_tourism_robustnessa_from_M4_real_interest_robustness,fixed_effects,entity-clustered,161.0,0.0405052515230919,0.0800770833313251,-0.2380577399702039,0.0379891067517125,0.2785629914932959
M6_tourism_robustnessa_from_M4_real_interest_robustness,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,161.0,0.0405052515230919,0.0800770833313251,-0.2380577399702039,0.0379891067517125,0.2785629914932959
M6_tourism_robustnessa_from_M4_real_interest_robustness,random_effects,entity-clustered,161.0,,,,,
M6_tourism_robustnessb_from_M2_main_monetary_policy,pooled_ols,country-clustered,182.0,0.6891425116050178,0.6891425116050178,0.6766367505776335,0.6766367505776334,0.0125057610273843
