,fdi_pct_gdp,broad_money_growth_pct,inflation_gdp_deflator_pct,trade_pct_gdp,ln_gdppc,xr_dep_pct,deposit_interest_rate_pct,real_interest_rate_pct,lending_interest_rate_pct,ln_tourism_arrivals,hc_human_capital_index
fdi_pct_gdp,1.0,-0.0071024794077319525,-0.09937620526264597,0.7787267844860726,0.17931486659391832,-0.03819054590839913,-0.3721326310779872,-0.0992950133423927,-0.22433321105793577,0.16213104053199048,0.2729628689557582
broad_money_growth_pct,-0.0071024794077319525,1.0,0.3170911835665883,-0.12814726534507592,-0.3653765106659413,0.1185671974398068,0.43340908319108595,0.0335646014185887,0.6235735527407114,-0.41087956490800204,-0.6649263074419149
inflation_gdp_deflator_pct,-0.09937620526264597,0.3170911835665883,1.0,-0.12517390850169038,-0.10674617174579328,-0.01185752854788014,0.5137389846113188,-0.7354890153099771,0.4548317344784115,-0.3143746137342236,-0.3206511069851153
trade_pct_gdp,0.7787267844860726,-0.12814726534507592,-0.12517390850169038,1.0,0.18009932265688666,-0.1700227931781002,-0.42498186359377865,-0.12980678168045634,-0.3571080889226364,0.3136622580855356,0.45274485956045907
ln_gdppc,0.17931486659391832,-0.3653765106659413,-0.10674617174579328,0.18009932265688666,1.0,0.008523239954680142,-0.027699230917392785,-0.24734500678836724,-0.5006177203343642,0.7228179970511428,0.6122440496482432
xr_dep_pct,-0.03819054590839913,0.1185671974398068,-0.01185752854788014,-0.1700227931781002,0.008523239954680142,1.0,0.11819107350505736,0.08561170379888268,0.09520892143708751,-0.08457207270221159,-0.104943054401061
deposit_interest_rate_pct,-0.3721326310779872,0.43340908319108595,0.5137389846113188,-0.42498186359377865,-0.027699230917392785,0.11819107350505736,1.0,0.06496566812756194,0.7350932451356269,-0.30618631387739764,-0.4988191474500337
real_interest_rate_pct,-0.0992950133423927,0.0335646014185887,-0.7354890153099771,-0.12980678168045634,-0.24734500678836724,0.08561170379888268,0.06496566812756194,1.0,0.35732415436740517,-0.1593801151825069,-0.27261381405445184
lending_interest_rate_pct,-0.22433321105793577,0.6235735527407114,0.4548317344784115,-0.3571080889226364,-0.5006177203343642,0.09520892143708751,0.7350932451356269,0.35732415436740517,1.0,-0.5702901080254299,-0.8487478014588647
ln_tourism_arrivals,0.16213104053199048,-0.41087956490800204,-0.3143746137342236,0.3136622580855356,0.7228179970511428,-0.08457207270221159,-0.30618631387739764,-0.1593801151825069,-0.5702901080254299,1.0,0.5653307867768613
hc_human_capital_index,0.2729628689557582,-0.6649263074419149,-0.3206511069851153,0.45274485956045907,0.6122440496482432,-0.104943054401061,-0.4988191474500337,-0.27261381405445184,-0.8487478014588647,0.5653307867768613,1.0
