variable,vif
ln_gdppc,9.735899297511834
inflation_gdp_deflator_pct,6.812409257186835
real_interest_rate_pct,5.967835748384372
trade_pct_gdp,3.678467363550071
broad_money_growth_pct,3.2840489428542963
xr_dep_pct,1.0616813774840872
