variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
Intercept,2.2222285868878675,6.812703662306403,0.3261889401095048,0.7453625017545296,-11.391873345678546,15.83633051945428
broad_money_pct_gdp,-0.0616640145304663,0.0180350179196954,-3.419126878888491,0.0011066027353259,-0.0977041220244819,-0.0256239070364508
deposit_interest_rate_pct,-0.4691687490530566,0.160237056293079,-2.927966600902421,0.0047431114102292,-0.7893769550576948,-0.1489605430484185
trade_pct_gdp,0.0827188629752322,0.0062685341487472,13.19588615334637,0.0,0.0701921970436149,0.0952455289068495
inflation_gdp_deflator_pct,0.1506268161766986,0.0899729334541795,1.6741347691348574,0.0990622703582124,-0.0291697444743088,0.3304233768277063
ln_gdppc,1.5057739648406063,0.8673308507166757,1.7361010087400732,0.087434432465824,-0.2274484379255308,3.238996367606744
xr_dep_pct,0.1369553437826335,0.060614242854056,2.25945812954206,0.0273228859210534,0.0158274448331753,0.2580832427320918
ln_population_total,0.644389334121246,0.4045770805708287,1.5927479955415658,0.1162222024055428,-0.1640934485581212,1.4528721168006131
ln_tourism_arrivals,-0.9967844743576186,0.4693548675388592,-2.123733113889763,0.0376254456244737,-1.9347153349899728,-0.0588536137252643
hc_human_capital_index,-3.3765259342308283,2.0506826163008,-1.6465375516381469,0.1046330962348047,-7.474488146227221,0.7214362777655645
