sample_type,step,spec_label,nobs,Fixed effects,Pooled OLS,Random effects,"Two-way FE, Driscoll-Kraay SE"
fixed_m2_common_sample,1,Broad money only,96.0,0.05553301403203466,0.07093698905876625,0.01757900845019673,0.05553301403203466
fixed_m2_common_sample,2,Broad money + inflation,96.0,0.057959328197453315,0.07082269488502395,0.017875394429388684,0.057959328197453315
fixed_m2_common_sample,3,Broad money + trade,96.0,0.07683273193255347,-0.03442115954740488,-0.002999093277830832,0.07683273193255347
fixed_m2_common_sample,4,Broad money + log GDP per capita,96.0,0.05407728390448315,0.029477635488823047,0.018645625717125067,0.05407728390448315
fixed_m2_common_sample,5,Broad money + trade + log GDP per capita,96.0,0.07533693502633061,-0.03631684556716133,-0.0037918441380667845,0.07533693502633061
fixed_m2_common_sample,6,M1 baseline controls,96.0,0.08611171937981749,-0.04135592755276612,-0.03870748700205825,0.08611171937981749
fixed_m2_common_sample,7,M2 full controls,96.0,0.07315701189152647,-0.04291261887133198,-0.04291261887133211,0.07315701189152647
native_complete_case,1,Broad money only,133.0,0.03938953018118152,0.052922871367800814,0.0056766499292524725,0.03938953018118152
native_complete_case,2,Broad money + inflation,133.0,0.04016996099089292,0.05225296961683441,0.006428523375906753,0.04016996099089292
native_complete_case,3,Broad money + trade,122.0,0.04936550006249297,-0.042747374977660825,-0.011390934454980546,0.04936550006249297
native_complete_case,4,Broad money + log GDP per capita,133.0,0.04734268534732118,0.02030120891958572,0.011535809609350823,0.04734268534732118
native_complete_case,5,Broad money + trade + log GDP per capita,122.0,0.05839784362742129,-0.041874937011306936,-0.010855800581110565,0.05839784362742129
native_complete_case,6,M1 baseline controls,112.0,0.06702316286551419,-0.046989456993013275,-0.03610211235239681,0.06702316286551419
native_complete_case,7,M2 full controls,109.0,0.0627364696933984,-0.04988765248236991,-0.041178353847269714,0.0627364696933984
