comparison_id,base_model_id,added_model_id,loss_driver_variable,lost_rows_with_missing_variable,affected_countries
M1_to_M2,M1_baseline_liquidity,M2_main_monetary_policy,deposit_interest_rate_pct,3,Philippines
M2_to_M3_lagged_proxy,M2_main_monetary_policy,M3_lagged_main_model,xr_dep_pct_lag1,8,"Brunei Darussalam, Indonesia, Malaysia, Philippines, Singapore, Thailand, Timor-Leste, Viet Nam"
M2_to_M7a_appendix_hc,M2_main_monetary_policy,M7a_human_capital_robustness_from_M2,hc_human_capital_index,13,Timor-Leste
M4_to_M7b_appendix_hc,M4_real_interest_robustness,M7b_human_capital_robustness_from_M4,hc_human_capital_index,13,Timor-Leste
