model_id,variable,vif,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,inflation_gdp_deflator_pct,1.815445162803177,M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,trade_pct_gdp,4.0493072493695355,M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,ln_gdppc,7.176973809351371,M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,xr_dep_pct,1.1203232564558403,M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,broad_money_growth_pct,3.815553092920465,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,deposit_interest_rate_pct,4.4612019138648025,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,inflation_gdp_deflator_pct,1.8226054047105478,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,trade_pct_gdp,4.400638276190565,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,ln_gdppc,582.0667645703033,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,xr_dep_pct,1.1212042997972311,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,ln_tourism_arrivals,580.8057177571909,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,broad_money_growth_pct,3.3269759815540265,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,real_interest_rate_pct,7.067690401135101,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,inflation_gdp_deflator_pct,8.14230889753945,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,trade_pct_gdp,3.747689229766732,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,ln_gdppc,12.22875186864227,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,xr_dep_pct,1.0952307999630824,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,broad_money_growth_pct,3.33473985633744,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,real_interest_rate_pct,7.7897487579230305,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,inflation_gdp_deflator_pct,9.09679004377692,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,trade_pct_gdp,4.050754273894599,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,ln_gdppc,667.9396274802226,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,xr_dep_pct,1.0981931397122722,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
