model_id,workbook_model,purpose,countries_used,total_rows,min_country_years,median_country_years,max_country_years,countries_with_lt_8_years,countries_with_internal_gaps,panel_reliability_flag
M1_baseline_liquidity,M1 - Baseline liquidity,Kiểm tra kênh cung tiền,10,209,10,22.5,23,0,1,review_internal_year_gaps
M2_main_monetary_policy,M2 - Main monetary policy,Kênh cung tiền + lãi suất,9,182,10,21.0,23,0,1,review_internal_year_gaps
M3_lagged_main_model,M3 - Lagged main model,Giảm vấn đề nội sinh/đồng thời,9,177,10,20.0,22,0,1,review_internal_year_gaps
M4_real_interest_robustness,M4 - Real interest robustness,Thay proxy lãi suất bằng real interest rate,9,174,10,21.0,23,0,1,review_internal_year_gaps
M5_lending_rate_robustness,M5 - Lending rate robustness,Thay proxy lãi suất bằng lending rate,8,161,10,21.5,23,0,1,review_internal_year_gaps
M6_tourism_robustnessa_from_M4_real_interest_robustness,M6 - Tourism robustness,Kiểm tra kênh dịch vụ/du lịch,8,161,10,21.5,23,0,1,review_internal_year_gaps
M6_tourism_robustnessb_from_M2_main_monetary_policy,M6 - Tourism robustness,Kiểm tra kênh dịch vụ/du lịch,9,182,10,21.0,23,0,1,review_internal_year_gaps
M7_human_capital_robustnessa_from_M4_real_interest_robustness,M7 - Human capital robustness,Kiểm soát chất lượng lao động,8,161,10,21.5,23,0,1,review_internal_year_gaps
M7_human_capital_robustnessb_from_M2_main_monetary_policy,M7 - Human capital robustness,Kiểm soát chất lượng lao động,9,182,10,21.0,23,0,1,review_internal_year_gaps
