model_id,estimator,term,coef,std_error,t_stat,p_value,ci_low,ci_high,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M1_baseline_liquidity__M1_to_M2_common_sample,random_effects,inflation_gdp_deflator_pct,0.02842079099297414,0.03518507379586225,0.8077513538231207,0.42057534592122137,-0.04112926986245713,0.0979708518484054,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,random_effects,trade_pct_gdp,0.007081236095635253,0.004403057818447245,1.6082541696289778,0.10998513914718577,-0.0016222539410689248,0.01578472613233943,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,random_effects,ln_gdppc,1.2311768327276604,0.6901870316223315,1.7838307245989475,0.07657199987543173,-0.13311048778401902,2.59546415323934,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,random_effects,xr_dep_pct,0.009222979061322068,0.018189322714268073,0.5070545619649366,0.6128975602576476,-0.026731713233374612,0.045177671356018745,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M2_main_monetary_policy__M1_to_M2_common_sample,pooled_ols,Intercept,-16.18394353627942,12.74450354783559,-1.269876341242649,0.20412868180735588,-41.16271149088011,8.79482441832128,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,pooled_ols,broad_money_growth_pct,0.04318279095458577,0.017713046436100516,2.437908753322975,0.014772502352193165,0.008465857883343197,0.07789972402582834,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,pooled_ols,deposit_interest_rate_pct,-0.07478590137447007,0.15933725394441828,-0.4693560327113312,0.6388151700139908,-0.38708118050104257,0.23750937775210246,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,pooled_ols,inflation_gdp_deflator_pct,0.0342507234416001,0.04889858461404389,0.7004440662636918,0.48365002467817253,-0.06158874129691033,0.13009018818011053,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,pooled_ols,trade_pct_gdp,0.056831303376474795,0.00640293530785225,8.875820329900824,6.941983120248737e-19,0.0442817807777445,0.06938082597520509,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,pooled_ols,ln_gdppc,0.4908854260371276,0.5044514554921657,0.9731073638358273,0.3304999445579182,-0.4978212586763273,1.4795921107505825,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,pooled_ols,xr_dep_pct,0.038761335908466914,0.04388277599154089,0.8832927049997654,0.37707814424695796,-0.04724732457659219,0.12476999639352601,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects,Intercept,-18.565339870734586,20.855810110306482,-0.8901759160896849,0.37524617985860376,-59.8805390664989,22.74985932502973,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects,broad_money_growth_pct,0.04510828943104767,0.021028993383313283,2.145052243291947,0.03407091947619212,0.0034500155053252754,0.08676656335677008,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects,deposit_interest_rate_pct,0.09223952245660531,0.11263132765486293,0.8189508583194155,0.41452316760603036,-0.13088227013415382,0.3153613150473644,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects,inflation_gdp_deflator_pct,0.0017011896315368728,0.03063995528032148,0.05552193585052202,0.955819845275157,-0.05899632578792961,0.06239870505100335,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
