specification,variable,vif,rows_used,multicollinearity_flag
baseline_theory_fit,broad_money_pct_gdp,10.83160660726671,119,severe
baseline_theory_fit,deposit_interest_rate_pct,2.163066950407179,119,acceptable
baseline_theory_fit,trade_pct_gdp,6.883929174494952,119,moderate
baseline_theory_fit,inflation_gdp_deflator_pct,1.3118920895434631,119,acceptable
baseline_theory_fit,ln_gdppc,10.64449461558571,119,severe
baseline_with_xr,broad_money_pct_gdp,11.132491632536238,109,severe
baseline_with_xr,deposit_interest_rate_pct,2.279371458436773,109,acceptable
baseline_with_xr,trade_pct_gdp,7.011965689931622,109,moderate
baseline_with_xr,inflation_gdp_deflator_pct,1.205560427918975,109,acceptable
baseline_with_xr,ln_gdppc,10.901633982612102,109,severe
baseline_with_xr,xr_dep_pct,1.2592636601687754,109,acceptable
liquidity_broad_sample,broad_money_pct_gdp,8.08826278975033,133,moderate
liquidity_broad_sample,inflation_gdp_deflator_pct,1.207459992083351,133,acceptable
liquidity_broad_sample,ln_gdppc,8.641914100908577,133,moderate
spec_real_rate,real_interest_rate_pct,5.115559735455871,98,moderate
spec_real_rate,trade_pct_gdp,5.133931318100241,98,moderate
spec_real_rate,inflation_gdp_deflator_pct,4.232819698312821,98,acceptable
spec_real_rate,ln_gdppc,10.047377258711979,98,severe
spec_real_rate,xr_dep_pct,1.1322323785946726,98,acceptable
spec_deposit_rate,deposit_interest_rate_pct,2.2581525855354907,111,acceptable
spec_deposit_rate,trade_pct_gdp,5.393339478062195,111,moderate
spec_deposit_rate,inflation_gdp_deflator_pct,1.1604639333190219,111,acceptable
spec_deposit_rate,ln_gdppc,7.311511816355353,111,moderate
spec_deposit_rate,xr_dep_pct,1.259131963205457,111,acceptable
spec_broad_money_only,broad_money_pct_gdp,11.111401750907916,112,severe
spec_broad_money_only,trade_pct_gdp,6.244536944015019,112,moderate
spec_broad_money_only,inflation_gdp_deflator_pct,1.1522786161434546,112,acceptable
spec_broad_money_only,ln_gdppc,9.756069158377112,112,moderate
spec_broad_money_only,xr_dep_pct,1.1223636538454085,112,acceptable
real_interest_robustness,broad_money_pct_gdp,13.642445164189368,96,severe
real_interest_robustness,real_interest_rate_pct,6.296586880899132,96,moderate
real_interest_robustness,trade_pct_gdp,6.052436132288798,96,moderate
real_interest_robustness,inflation_gdp_deflator_pct,5.328638393577186,96,moderate
real_interest_robustness,ln_gdppc,21.26923474708747,96,severe
real_interest_robustness,xr_dep_pct,1.1513308721348392,96,acceptable
lending_rate_robustness,broad_money_pct_gdp,13.356695028432616,96,severe
lending_rate_robustness,lending_interest_rate_pct,5.922101270227125,96,moderate
lending_rate_robustness,trade_pct_gdp,6.081050019433115,96,moderate
lending_rate_robustness,inflation_gdp_deflator_pct,1.167357816523146,96,acceptable
lending_rate_robustness,ln_gdppc,22.625863105138276,96,severe
lending_rate_robustness,xr_dep_pct,1.1682644609355894,96,acceptable
full_saturated_diagnostic_only,broad_money_pct_gdp,31.395399911368365,96,severe
full_saturated_diagnostic_only,deposit_interest_rate_pct,4.679569348829601,96,acceptable
full_saturated_diagnostic_only,trade_pct_gdp,9.113416791377064,96,moderate
full_saturated_diagnostic_only,inflation_gdp_deflator_pct,1.4032234361870335,96,acceptable
full_saturated_diagnostic_only,ln_gdppc,385.47556616232214,96,severe
full_saturated_diagnostic_only,xr_dep_pct,1.2964744734026936,96,acceptable
full_saturated_diagnostic_only,ln_population_total,227.0610872107418,96,severe
full_saturated_diagnostic_only,ln_tourism_arrivals,535.0569477630446,96,severe
full_saturated_diagnostic_only,hc_human_capital_index,260.4497445530434,96,severe
