,broad_money_growth_pct,deposit_interest_rate_pct,inflation_gdp_deflator_pct,trade_pct_gdp,ln_gdppc,xr_dep_pct
broad_money_growth_pct,240,211,240,219,240,230
deposit_interest_rate_pct,211,213,213,192,213,204
inflation_gdp_deflator_pct,240,213,264,240,264,253
trade_pct_gdp,219,192,240,240,240,230
ln_gdppc,240,213,264,240,264,253
xr_dep_pct,230,204,253,230,253,253
