model_id,estimator,covariance_type,nobs,r_squared,within_r2,adj_r_squared,slope_adjusted_within_r2,r2_adj_r2_gap
M1_baseline_liquidity,pooled_ols,country-clustered,112.0,0.6953390731731796,0.6953390731731796,0.6809682747379522,0.6809682747379522,0.014370798435227372
M1_baseline_liquidity,fixed_effects,entity-clustered,112.0,0.08277331115686248,-0.011380527177954125,-0.18386235420451458,-0.05908715581842361,0.26663566536137706
M1_baseline_liquidity,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,112.0,0.08277331115686248,-0.011380527177954125,-0.18386235420451458,-0.05908715581842361,0.26663566536137706
M1_baseline_liquidity,random_effects,entity-clustered,112.0,0.5632218489423081,-0.26347392833370153,0.5426191059678886,-0.3230717551418949,0.02060274297441944
M2_main_monetary_policy,pooled_ols,country-clustered,96.0,0.7555733409541516,0.7555733409541516,0.7390951392207237,0.7390951392207237,0.016478201733427955
M2_main_monetary_policy,fixed_effects,entity-clustered,96.0,0.09658821638677129,-0.03761018520265891,-0.22605884918938202,-0.10756143364328774,0.3226470655761533
M2_main_monetary_policy,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,96.0,0.09658821638677129,-0.03761018520265891,-0.22605884918938202,-0.10756143364328774,0.3226470655761533
M2_main_monetary_policy,random_effects,entity-clustered,96.0,0.7555733409541517,-0.29522815267571767,0.7390951392207238,-0.3825469045414964,0.016478201733427955
M3_lagged_main_model,pooled_ols,country-clustered,91.0,0.7656785726244361,0.7656785726244361,0.7489413278118957,0.7489413278118957,0.016737244812540353
M3_lagged_main_model,fixed_effects,entity-clustered,91.0,0.06462387239724232,0.01679026074580292,-0.27551290127648786,-0.053439006343782625,0.3401367736737302
M3_lagged_main_model,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,91.0,0.06462387239724232,0.01679026074580292,-0.27551290127648786,-0.053439006343782625,0.3401367736737302
M3_lagged_main_model,random_effects,entity-clustered,91.0,0.7656785726244361,-0.31024234296104547,0.7489413278118957,-0.4038310817439774,0.016737244812540353
M4_real_interest_robustness,pooled_ols,country-clustered,96.0,0.7958403107826041,0.7958403107826041,0.7820767362286224,0.7820767362286223,0.013763574553981694
M4_real_interest_robustness,fixed_effects,entity-clustered,96.0,0.30999493728918515,0.21728521497183773,0.06356455774960834,0.16451792609353466,0.2464303795395768
M4_real_interest_robustness,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,96.0,0.30999493728918515,0.21728521497183773,0.06356455774960834,0.16451792609353466,0.2464303795395768
M4_real_interest_robustness,random_effects,entity-clustered,96.0,0.7958403107826042,-0.1374561303806936,0.7820767362286225,-0.21413856613669546,0.013763574553981694
M5_lending_rate_robustness,pooled_ols,country-clustered,96.0,0.7465249570563784,0.7465249570563784,0.7294367519141118,0.7294367519141118,0.01708820514226661
M5_lending_rate_robustness,fixed_effects,entity-clustered,96.0,0.2118443419399939,0.002144168772603816,-0.06963982165286531,-0.06512701086070383,0.2814841635928592
M5_lending_rate_robustness,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,96.0,0.2118443419399939,0.002144168772603816,-0.06963982165286531,-0.06512701086070383,0.2814841635928592
