model_id,estimator,term,coef,std_error,t_stat,p_value,ci_low,ci_high
M1_baseline_liquidity,pooled_ols,Intercept,0.12424720985620286,7.651032404384954,0.016239273772385855,0.987043503649139,-14.871500747287202,15.119995166999606
M1_baseline_liquidity,pooled_ols,broad_money_pct_gdp,-0.046989456993013275,0.02428181588128727,-1.935170632325962,0.052969360269207136,-0.09458094159956904,0.0006020276135424857
M1_baseline_liquidity,pooled_ols,inflation_gdp_deflator_pct,-0.07324374646047321,0.023571497728766908,-3.1073013392392865,0.0018880383578543753,-0.11944303307052404,-0.027044459850422392
M1_baseline_liquidity,pooled_ols,trade_pct_gdp,0.08477745396239009,0.01035959464543529,8.18347212067272,2.757801029841175e-16,0.06447302156290292,0.10508188636187725
M1_baseline_liquidity,pooled_ols,ln_gdppc,-0.1863501824781196,0.8178556517119492,-0.22785216692951657,0.8197611698305625,-1.789317804386074,1.416617439429835
M1_baseline_liquidity,pooled_ols,xr_dep_pct,0.09611728046565013,0.07039425288579823,1.3654137450905657,0.17212304620226804,-0.04185291990911916,0.23408748084041942
M1_baseline_liquidity,fixed_effects,Intercept,29.95237668886436,41.02976153368636,0.730015860908009,0.4673643762450683,-51.61208973778072,111.51684311550945
M1_baseline_liquidity,fixed_effects,broad_money_pct_gdp,0.06702316286551419,0.058006973005753505,1.1554328625088988,0.2511133173841422,-0.04829088297300668,0.18233720870403505
M1_baseline_liquidity,fixed_effects,inflation_gdp_deflator_pct,0.024356605186288325,0.050092766480241455,0.4862299868364332,0.6280408333805152,-0.07522451878492707,0.12393772915750371
M1_baseline_liquidity,fixed_effects,trade_pct_gdp,-0.031124089940887646,0.021153067903430533,-1.4713747472932779,0.14483963069262296,-0.07317499719301392,0.010926817311238624
M1_baseline_liquidity,fixed_effects,ln_gdppc,-3.1346834180785708,5.299549287235691,-0.591500002769794,0.5557371035011491,-13.669838723824018,7.400471887666877
M1_baseline_liquidity,fixed_effects,xr_dep_pct,0.013022269578397208,0.09262374433823817,0.1405932104282377,0.8885200919652894,-0.17110764010152424,0.19715217925831863
M1_baseline_liquidity,fixed_effects_driscoll_kraay,Intercept,29.95237668886436,28.23087896551034,1.0609792463584706,0.291669874966787,-26.16875327886729,86.07350665659601
M1_baseline_liquidity,fixed_effects_driscoll_kraay,broad_money_pct_gdp,0.06702316286551419,0.05779663198719766,1.1596378640257146,0.24940575315343638,-0.04787273886724436,0.18191906459827273
M1_baseline_liquidity,fixed_effects_driscoll_kraay,inflation_gdp_deflator_pct,0.024356605186288325,0.09095050390757292,0.2678006623365205,0.7894940071525984,-0.15644701260625155,0.2051602229788282
M1_baseline_liquidity,fixed_effects_driscoll_kraay,trade_pct_gdp,-0.031124089940887646,0.02133904583141751,-1.4585511548535879,0.14833131454650905,-0.0735447090776647,0.011296529195889395
M1_baseline_liquidity,fixed_effects_driscoll_kraay,ln_gdppc,-3.1346834180785708,3.6327287147580583,-0.8629004982793884,0.39059219914352106,-10.356309092132827,4.086942255975686
M1_baseline_liquidity,fixed_effects_driscoll_kraay,xr_dep_pct,0.013022269578397208,0.07728486040406445,0.16849703176422326,0.8665879309323445,-0.14061494804325014,0.16665948720004453
M1_baseline_liquidity,random_effects,Intercept,-1.4340548173582122,6.923164100843147,-0.20713864303513532,0.8362989849847522,-15.159901006060823,12.291791371344397
M1_baseline_liquidity,random_effects,broad_money_pct_gdp,-0.03610211235239681,0.022413913566309656,-1.6107009713226468,0.11021884673867022,-0.08053987601317347,0.008335651308379849
M1_baseline_liquidity,random_effects,inflation_gdp_deflator_pct,-0.053384630931684905,0.01265248068077444,-4.219301517116983,5.183184388934947e-05,-0.07846940448323067,-0.028299857380139147
M1_baseline_liquidity,random_effects,trade_pct_gdp,0.07615447932839538,0.008408236245325518,9.05712888011832,7.549516567451064e-15,0.05948433317259979,0.09282462548419096
M1_baseline_liquidity,random_effects,ln_gdppc,0.0087847677995022,0.7884758489912072,0.011141454504588338,0.9911315316838891,-1.5544452913351618,1.572014826934166
M1_baseline_liquidity,random_effects,xr_dep_pct,0.06809016803782629,0.05454129805062182,1.2484148795767431,0.21462954621258779,-0.040043260127461344,0.17622359620311392
M2_main_monetary_policy,pooled_ols,Intercept,-10.486829561562935,4.424820989765139,-2.3700008623669895,0.017788043771249717,-19.159319339539483,-1.8143397835863873
M2_main_monetary_policy,pooled_ols,broad_money_pct_gdp,-0.04291261887133198,0.014194690321650334,-3.0231458312183013,0.0025016165963813145,-0.0707337006734659,-0.015091537069198049
M2_main_monetary_policy,pooled_ols,deposit_interest_rate_pct,0.35104599261553093,0.1750782932028503,2.0050800484375286,0.04495449005208206,0.007898843463200633,0.6941931417678613
M2_main_monetary_policy,pooled_ols,inflation_gdp_deflator_pct,-0.06628614966778487,0.012057204473163455,-5.49763834687572,3.8491131256458266e-08,-0.08991783618942048,-0.04265446314614926
M2_main_monetary_policy,pooled_ols,trade_pct_gdp,0.07830426808482766,0.007242005197667535,10.812511997374354,3.0033141638888236e-27,0.06411019872154741,0.0924983374481079
M2_main_monetary_policy,pooled_ols,ln_gdppc,0.8961733698524692,0.5630208480087868,1.5917232426151349,0.1114469035068952,-0.20732721478995275,1.9996739544948912
M2_main_monetary_policy,pooled_ols,xr_dep_pct,0.0968102203272593,0.07050022070559699,1.3731903156946228,0.1696931895335848,-0.041367673157835794,0.2349881138123544
M2_main_monetary_policy,fixed_effects,Intercept,34.166060672907996,42.47320943146545,0.8044143856855973,0.42388130625372145,-50.54408447323666,118.87620581905264
M2_main_monetary_policy,fixed_effects,broad_money_pct_gdp,0.07315701189152647,0.06749209334742409,1.0839345508953395,0.28211316942867404,-0.06145172383170132,0.20776574761475425
