ISO code,Country,Variable code,Variable name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BRN,Brunei Darussalam,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.61132383346558,2.61798334121704,2.6246600151062,2.63135361671448,2.63806438446045,2.64479231834412,2.65514659881592,2.66554164886475,2.6759774684906,2.68645405769348,2.69697141647339,2.72146034240723,2.73249530792236,2.74364900588989,2.75492358207703,2.76632022857666,2.77784085273743,2.78948664665222,2.80125975608826,2.81316184997559,2.82519459724426,2.83735990524292,2.84965920448303,2.86209464073181
BRN,Brunei Darussalam,pop,Population (in millions),0.326424,0.333345,0.340099,0.346637,0.352911,0.358916,0.364663,0.370873,0.377793,0.384952,0.392332,0.399389,0.405557,0.411202,0.41675,0.422212,0.427564,0.432772,0.43781,0.44268,0.447404,0.451721,0.45537,0.458949
IDN,Indonesia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.18566656112671,2.20774579048157,2.23004794120789,2.25257539749146,2.27533054351807,2.29831528663635,2.32153272628784,2.34498429298401,2.3686728477478,2.39260053634644,2.41677021980286,2.40213108062744,2.38758063316345,2.37311816215515,2.35874342918396,2.34445571899414,2.33025455474854,2.31613945960999,2.30210971832275,2.28816509246826,2.27430486679077,2.29713678359985,2.32053375244141,2.34451293945313
IDN,Indonesia,pop,Population (in millions),216.07779,219.097902,222.088495,225.048008,227.926649,230.87165,233.951652,237.062337,240.157903,243.220028,246.305322,249.470032,252.698525,255.852467,258.877399,261.799249,264.627418,267.346658,269.951846,272.489381,274.814866,276.758053,278.830529,281.190067
KHM,Cambodia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.54049813747406,1.55278742313385,1.56517469882965,1.57766079902649,1.59024655818939,1.6029326915741,1.62778294086456,1.65301835536957,1.67864501476288,1.70466911792755,1.72566735744476,1.71317780017853,1.69805002212524,1.68176412582397,1.66563439369202,1.68224096298218,1.74049484729767,1.79374051094055,1.84861493110657,1.90516817569733,1.94617688655853,1.98806822299957,2.02220344543457,2.05799889564514
KHM,Cambodia,pop,Population (in millions),12.462336,12.658484,12.855241,13.050968,13.244731,13.439202,13.639028,13.84177,14.053479,14.27681,14.500726,14.722584,14.945085,15.170208,15.396772,15.623251,15.852803,16.073372,16.274522,16.481304,16.725474,16.974305,17.201724,17.42388
LAO,Lao People's DR,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.68724203109741,1.70189154148102,1.71481537818909,1.72602570056915,1.73730933666229,1.74866676330566,1.76094961166382,1.7733188867569,1.78577494621277,1.79831850528717,1.81095016002655,1.82428538799286,1.83793306350708,1.85190188884735,1.86620151996613,1.88084125518799,1.89583122730255,1.91118156909943,1.92690312862396,1.94300675392151,1.95950412750244,1.97640693187714,1.99372756481171,2.01147890090942
LAO,Lao People's DR,pop,Population (in millions),5.431212,5.521482,5.610889,5.697945,5.781626,5.869523,5.9632,6.056236,6.148969,6.241642,6.334194,6.42659,6.518978,6.611385,6.703172,6.801645,6.908802,7.018147,7.128045,7.237636,7.346533,7.453194,7.559007,7.664993
MMR,Myanmar,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.51568937301636,1.53401160240173,1.55255532264709,1.5713232755661,1.59031808376312,1.60954236984253,1.63307785987854,1.65695738792419,1.68118607997894,1.70576906204224,1.72537803649902,1.73815476894379,1.75102591514587,1.76399254798889,1.77705514431,1.79021441936493,1.80347120761871,1.8168261051178,1.83027982711792,1.8438333272934,1.85748708248138,1.88372933864594,1.91111409664154,1.9397029876709
MMR,Myanmar,pop,Population (in millions),45.290841,45.771139,46.232653,46.667192,47.068772,47.438365,47.785135,48.125043,48.390793,48.660459,49.024382,49.41982,49.837446,50.262658,50.681634,51.089056,51.495696,51.894938,52.272247,52.640713,53.016522,53.387102,53.756787,54.133798
