Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Thailand,THA,"International tourism, number of arrivals",ST.INT.ARVL,9579000,10133000,10873000,10082000,11737000,11567000,13822000,14464000,14584000,14150000,15936000,19230000,22354000,26547000,24810000,29923000,32530000,35592000,38178000,39916000,..,..,..,..,..,..
Thailand,THA,Lending interest rate (%),FR.INR.LEND,7.83333333333333,7.27083333333333,..,..,4.55308715722008,4.71935005845093,6.27380728455047,6.04656836196979,5.82188819286142,4.77599754065056,4.33403991889774,5.06756761337228,5.18731410654716,5.06043360051236,4.94915214812624,4.73187498877014,4.46834552349908,4.41658283333333,4.14666666666666,4.08416666666666,3.2925,3.06,3.13833333333333,4.28583333333333,4.51416666666667,..
Thailand,THA,Deposit interest rate (%),FR.INR.DPST,3.29166666666667,2.54166666666667,..,..,1.09836378355252,1.65311094810176,4.33873042661947,2.8407899146902,2.53599795678966,1.02193983408434,1.19967250261727,2.4580602042386,2.60014998247194,2.43305606719736,1.75309614610678,1.43341559553114,1.30034238213158,1.28916187722766,1.2875,1.41666666666667,0.621666666666666,0.405833333333333,0.51,1.37416666666667,1.63333333333333,..
Viet Nam,VNM,"International tourism, number of arrivals",ST.INT.ARVL,2140000,2330000,2628000,2429000,2928000,3477000,3583000,4229000,4236000,3747000,5050000,6014000,6848000,7572000,7874000,7944000,10013000,12922000,15498000,18009000,3837000,..,..,..,..,..
Viet Nam,VNM,Lending interest rate (%),FR.INR.LEND,10.55,9.42,9.06166666666667,9.48,9.7225,11.025,11.17625,11.18,15.7835714285714,10.069,13.13525,16.9538333333333,13.4716666666667,10.3741666666667,8.665,7.1175,6.96,7.0675,7.371875,7.7075,7.6475,7.811,8.01333333333333,9.323,..,..
Viet Nam,VNM,Deposit interest rate (%),FR.INR.DPST,3.65333333333333,5.30416666666667,6.4475,6.62166666666667,6.17125,7.145,7.63,7.4925,12.7304166666667,7.91,11.19375,13.9935,10.5036666666667,7.14,5.7575,4.7475,5.035,4.80916666666667,4.73825,4.975,4.12020833333333,3.375,3.8175,4.781,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
