metric,value
Observations,109
R-squared,0.1053
Countries used,9
Years used,13
Regressors,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, ln_tourism_arrivals"
