metric,value
Preferred estimator,Fixed effects
Hausman p-value,nan
Hausman raw statistic,nan
Hausman negative-statistic flag,False
FE vs RE comparison note,random_effects_failed
Condition number,2055.7711
Breusch-Pagan LM p-value,0.0001
White LM p-value,0.0173
Max VIF,229.7756
