metric,value
Observations,96
R-squared,0.1666
Countries used,8
Years used,13
Regressors,"broad_money_pct_gdp, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, hc_human_capital_index"
