variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
Intercept,-18.53488095625259,10.335904599998832,-1.793251938127862,0.0773149190704316,-39.154446449006066,2.0846845365008875
broad_money_pct_gdp,-0.0129761926874387,0.0182187703930548,-0.7122430552385389,0.4787157677727407,-0.0493216451519549,0.0233692597770773
deposit_interest_rate_pct,-0.1312516947740885,0.1365115670743568,-0.9614694020954044,0.3396735252653979,-0.4035848196181807,0.1410814300700036
inflation_gdp_deflator_pct,-0.0079223239977784,0.0035137048903235,-2.2546924813167517,0.027329374466696,-0.0149319734587692,-0.0009126745367875
trade_pct_gdp,-0.0316324071563611,0.0210105609163893,-1.5055479614390563,0.136747592556359,-0.0735473293253434,0.0102825150126211
ln_gdppc,2.9987084399498065,1.2100679913111203,2.4781321888373204,0.0156579529925189,0.5846888487156621,5.412728031183951
xr_dep_pct,0.1223485876586737,0.0367958331465448,3.3250663783424135,0.0014184056881123,0.0489429090279231,0.1957542662894243
hc_human_capital_index,1.2425625560947122,3.8261320079387495,0.3247568441226149,0.7463476820520811,-6.390361950737745,8.875487062927169
