country_code,country,year,fdi_pct_gdp,bm_growth,real_interest_rate,gdp_growth,gdppc,ln_gdppc,trade_pct_gdp,d_ln_exr,inflation,rq,rl,ge,cc,va,pv,wgi_composite,gdp_current_usd,population,hc_index,exr_lcu_usd
BRN,Brunei Darussalam,2000,8.36413523538418,47.028943948113024,3.0507709785604953,3.4746762767258588,20130.257234662356,9.909979297223941,87.05533298776969,3.855154400357652,2.3767207156063535,0.7352101,0.7763369,0.46794359999999996,0.3709386,-0.9017592999999999,1.3283584720000001,0.5876072999999999,6570999087.567425,342648.82,2.61132383346558,1.72396333333333
BRN,Brunei Darussalam,2001,0.9956216011005181,-1.936401692770487,11.02114021052113,1.4660608198711031,18287.827228191374,9.81399093871259,91.09978761968566,3.855154400357652,-4.973053060031447,,,,,,,,6096155767.3814535,342648.82,2.61798334121704,1.7917225
BRN,Brunei Darussalam,2002,3.626542715260879,1.8854203176851962,5.6430240890632195,3.9614389000248025,18621.292257752495,9.832060950020757,93.21618147224771,-0.0633203960980655,-0.13538431931165462,1.2956322,0.7815546,0.46810759999999996,0.18455829999999998,-0.8024418999999999,1.0153957999999998,0.6824631749999999,6333082875.5693655,342648.82,2.6246600151062,1.79058833333333
BRN,Brunei Darussalam,2003,1.7274784763881308,4.0710588721584635,-0.76189501480855,3.583429099789967,20677.90011431882,9.93682078160585,89.08561609875599,-2.7405127781441885,6.309970364451203,1.1730273,0.7793346,0.45971399999999996,0.1825345,-0.8619091,1.0479687,0.6486526,7167725261.927134,346637.0,2.63135361671448,1.74218333333333
BRN,Brunei Darussalam,2004,1.3134182494197866,15.834672083040658,-9.47465919647903,0.10453837260331511,24423.094699554782,10.103284467708868,84.88216666381916,-3.02754876184288,16.54195285382079,0.7918227,0.6210766,0.40734549999999997,0.20830649999999998,-0.8784506999999999,1.0993465,0.5071378249999999,8619178773.514578,352911.0,2.63806438446045,1.69022833333333
BRN,Brunei Darussalam,2005,1.6598573371678753,-1.936401692770487,-12.450760317229014,-0.003925316607464424,29386.27038228621,10.28828285045142,81.62011401552324,-1.5400432207170578,20.503616458889226,1.1720431999999998,0.16165759999999998,0.45521839999999997,0.17896309999999999,-0.7641212,1.1115893,0.49197057499999997,10547202620.528637,358916.0,2.64479231834412,1.6643975
BRN,Brunei Darussalam,2006,0.6946761009178788,2.11689429640714,-4.042364946656927,4.098412573085881,34674.79952364521,10.45376846358435,81.57095474296892,-4.640026451634066,9.944351943805515,1.1694272,0.1605095,0.6451745,0.18421289999999998,-0.790858,1.1147080999999999,0.539831025,12644616418.691034,364663.0,2.65514659881592,1.58893333333333
BRN,Brunei Darussalam,2007,1.918069922251921,6.706154565568921,0.7670825353540269,-3.7636232625464743,36217.329070601496,10.49729298687962,81.01141463689581,-5.287455124689622,4.696888453613241,1.1739818,0.3784568,0.6480843,0.18045239999999999,-0.8301993,1.1198586,0.595243825,13432029484.40119,370873.0,2.66554164886475,1.50710166666666
BRN,Brunei Darussalam,2008,1.395065809396078,9.578762406764932,-9.068003682876727,-3.9007110171511385,42156.568583867185,10.64914578957714,89.74542535233438,-6.15288071439103,16.020767466790403,0.949121,0.4440116,0.6779864,0.2792377,-0.7953142999999999,1.1203026,0.587589175,15926456515.004934,377793.0,2.6759774684906,1.41716666666666
BRN,Brunei Darussalam,2009,2.733059998232977,9.655606150990263,27.092781841957336,-1.900253672025471,30946.467377382753,10.340014131933783,90.2870882587894,2.605025154150126,-12.073689811933491,1.0232638,0.6593956999999999,0.7798183999999999,0.9266342999999999,-0.5939329999999999,1.3123741,0.8472780499999999,11912904509.858246,384952.0,2.68645405769348,1.45456927332329
